"Source:","C:\Users\samar\OneDrive\Desktop\SAMARPREET\KiCad\7.0\projects\Laser Feeback Control Circuit\Laser Feeback Control Circuit.kicad_sch"
"Date:","2023-10-27 6:58:08 PM"
"Tool:","Eeschema 7.0.7"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","103"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1","1","1uF","Ploypropylene Capacitor","Complex_Op_Amps_Footprints:Polypropylene Capacitor","","",""
"DG1","1","P/N: ADG201AKNZ","DG201HSDY-T1-E3","Complex_Op_Amps_Footprints:ADG201AKNZ","Analog Switch ICs HIGH SPEED QUAD SPST A/S","",""
"EC1, EC2","2","1000uF","EEU-EB1C102","Complex_Op_Amps_Footprints:ELECTROLYTIC CAPACITOR - EEU-EB1C102","PANASONIC - EEU-EB1C102 - ALUMINUM ELECTROLYTIC CAPACITOR, 1000UF, 20%, 16V, RADIAL","",""
"IDC1","1","Male 14 Position IDC Connector, Digikey P/N: 609-5970-ND","14_Position_Male_IDC","Complex_Op_Amps_Footprints:Male IDC Connector","","",""
"NC1, NC2, NC6, NC7, NC11, NC14, NC19, NC23, NC25, NC26, NC27, NC28","12","0.1uF","Normal_Capacitor_399-4209-ND","Complex_Op_Amps_Footprints:CAPACITOR - 399-4209-ND","","",""
"OP47GP1, OP47GP2, OP47GP3","3","~","Quad_Op-Amp_3","Complex_Op_Amps_Footprints:OP470GPZ","","",""
"P1, P2","2","50k","Potentiometer_1","Complex_Op_Amps_Footprints:Potentiometer","","",""
"R1, R2, R3, R4, R8, R9, R10, R11, R12, R14, R16, R19, R20, R21, R26, R28, R29, R33, R34, R36, R37","21","10k","Resistor","Complex_Op_Amps_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","",""
"R5, R22, R38, R39","4","0k","Resistor","Complex_Op_Amps_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","",""
"R6, R23","2","Open","Resistor","Complex_Op_Amps_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","",""
"R7, R13, R15, R24, R25, R27, R35","7","1k","Resistor","Complex_Op_Amps_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","",""
"R17, R18","2","5k","Resistor","Complex_Op_Amps_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","",""
"R30, R31, R32, R40, R41","5","20k","Resistor","Complex_Op_Amps_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","",""
"REF1","1","REF02 P/N: REF02CPZ","REF02","Complex_Op_Amps_Footprints:REF02CPZ","","",""
"SC1","1","1nF","Small_Capacitor","Complex_Op_Amps_Footprints:Small Capacitor","","",""
"SW1, SW2, SW3, SW4, SW5, SW6, SW7","7","SPDT Switch, P/N: 7101SD9AV2BE","Switch","Complex_Op_Amps_Footprints:AV2_Switch","","",""
"T1, T2, T3, T4","4","Transistor P/N: 2N3906","Transistor","Complex_Op_Amps_Footprints:Both_Transisitor","","",""
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16","16","TestPoint","TestPoint","GENERAL PROJECT - NUMBER 1 LIBRARY - FOOTPRINTS:TestPoint","test point","",""
"TR1, TR2, TR3, TR4","4","Transistor P/N: 2N3904","Transistor2","Complex_Op_Amps_Footprints:Both_Transisitor","","",""
"TrimP1","1","20k","Trim_Potentiometer","Complex_Op_Amps_Footprints:3296X1104LF -TrimPot","","",""
"TrimP2, TrimP3, TrimP4","3","10k","Trim_Potentiometer","Complex_Op_Amps_Footprints:3296X1104LF -TrimPot","","",""
"TrimP5, TrimP6","2","5k","Trim_Potentiometer","Complex_Op_Amps_Footprints:3296X1104LF -TrimPot","","",""
"XLR1","1","XLR P/N: NC3MBH","XLR","GENERAL PROJECT - NUMBER 1 LIBRARY - FOOTPRINTS:NC3MBH","Conn XLR Connector Adapter M 3 POS Solder RA Thru-Hole 3 Terminal 1 Port","",""
